,time,v10,dep
344,2020-06-08,-3.4824617,02
345,2020-06-09,-3.7135735,02
346,2020-06-10,-1.4223685,02
347,2020-06-11,-0.21644068,02
348,2020-06-12,1.8949916,02
349,2020-06-13,2.3210428,02
350,2020-06-14,1.8880204,02
351,2020-06-15,2.0708926,02
352,2020-06-16,1.7483485,02
353,2020-06-17,0.9413386,02
354,2020-06-18,2.8517468,02
355,2020-06-19,1.2107714,02
356,2020-06-20,0.23060101,02
357,2020-06-21,1.9618446,02
358,2020-06-22,-0.90813535,02
359,2020-06-23,-1.0371742,02
360,2020-06-24,0.16343847,02
361,2020-06-25,0.8710093,02
362,2020-06-26,2.2232196,02
363,2020-06-27,4.0661287,02
364,2020-06-28,2.5831523,02
365,2020-06-29,0.9731853,02
366,2020-06-30,3.1136677,02
367,2020-07-01,2.194726,02
368,2020-07-02,0.55748653,02
369,2020-07-03,1.1857806,02
370,2020-07-04,3.8520072,02
371,2020-07-05,2.2052448,02
372,2020-07-06,-1.2627571,02
373,2020-07-07,-0.21149921,02
374,2020-07-08,0.28651994,02
375,2020-07-09,0.9194975,02
376,2020-07-10,-1.7842712,02
377,2020-07-11,-2.4775107,02
378,2020-07-12,-2.757015,02
379,2020-07-13,-2.6431417,02
380,2020-07-14,-1.0954398,02
381,2020-07-15,-0.8128108,02
382,2020-07-16,-1.3723234,02
383,2020-07-17,-0.87670624,02
384,2020-07-18,-0.10923716,02
385,2020-07-19,-1.3929521,02
386,2020-07-20,-4.281696,02
387,2020-07-21,-3.5116856,02
388,2020-07-22,-3.1137185,02
389,2020-07-23,-0.7869635,02
390,2020-07-24,-0.6981344,02
391,2020-07-25,2.7196798,02
392,2020-07-26,0.5844413,02
393,2020-07-27,2.8395538,02
394,2020-07-28,-0.5463141,02
395,2020-07-29,-0.5804152,02
396,2020-07-30,-0.36582133,02
397,2020-07-31,1.9678909,02
398,2020-08-01,-2.0713592,02
399,2020-08-02,-1.8624432,02
400,2020-08-03,-1.8088343,02
401,2020-08-04,-1.0954059,02
402,2020-08-05,2.3823059,02
403,2020-08-06,1.261479,02
404,2020-08-07,0.522131,02
405,2020-08-08,-0.40880597,02
406,2020-08-09,0.18778744,02
407,2020-08-10,-0.026160955,02
408,2020-08-11,-0.7015262,02
409,2020-08-12,0.34031755,02
410,2020-08-13,2.590224,02
411,2020-08-14,1.5333097,02
412,2020-08-15,-0.2762327,02
413,2020-08-16,0.9339803,02
414,2020-08-17,2.6703067,02
415,2020-08-18,1.0071648,02
416,2020-08-19,3.350455,02
417,2020-08-20,2.7851157,02
418,2020-08-21,3.4204443,02
419,2020-08-22,2.1454701,02
420,2020-08-23,0.68727493,02
421,2020-08-24,0.6702193,02
422,2020-08-25,3.6616259,02
423,2020-08-26,0.93217885,02
424,2020-08-27,2.368888,02
425,2020-08-28,2.6912227,02
426,2020-08-29,0.35639843,02
427,2020-08-30,-2.682795,02
428,2020-08-31,-2.7060714,02
429,2020-09-01,-2.6581,02
430,2020-09-02,-1.7385881,02
431,2020-09-03,2.2565508,02
432,2020-09-04,-0.04864124,02
433,2020-09-05,-1.9857494,02
434,2020-09-06,-0.7721154,02
435,2020-09-07,-0.8224452,02
436,2020-09-08,0.4672232,02
437,2020-09-09,-1.0156283,02
438,2020-09-10,-1.7871213,02
439,2020-09-11,-0.59421575,02
440,2020-09-12,-1.559583,02
441,2020-09-13,-0.11528129,02
442,2020-09-14,1.58499,02
443,2020-09-15,1.2242993,02
444,2020-09-16,-2.769148,02
445,2020-09-17,-3.5227613,02
446,2020-09-18,-0.49447572,02
447,2020-09-19,1.5457447,02
448,2020-09-20,-1.3373623,02
449,2020-09-21,-1.9150739,02
450,2020-09-22,-0.48625037,02
451,2020-09-23,3.3638368,02
452,2020-09-24,4.285578,02
453,2020-09-25,0.73346305,02
454,2020-09-26,-2.6965356,02
455,2020-09-27,-4.2259483,02
456,2020-09-28,-0.56963724,02
457,2020-09-29,1.3439382,02
458,2020-09-30,3.0098631,02
459,2020-10-01,3.2898717,02
460,2020-10-02,2.3645608,02
461,2020-10-03,2.7499185,02
462,2020-10-04,5.594487,02
463,2020-10-05,4.442741,02
464,2020-10-06,3.630862,02
465,2020-10-07,0.8879475,02
466,2020-10-08,4.0393887,02
467,2020-10-09,0.4277155,02
468,2020-10-10,-0.24940802,02
469,2020-10-11,-2.1581488,02
470,2020-10-12,0.12266721,02
471,2020-10-13,3.2673862,02
472,2020-10-14,-2.727511,02
473,2020-10-15,-3.9889421,02
474,2020-10-16,-2.7092566,02
475,2020-10-17,-1.4571563,02
476,2020-10-18,-0.057920948,02
477,2020-10-19,2.7862468,02
478,2020-10-20,4.823603,02
479,2020-10-21,5.968037,02
480,2020-10-22,2.8448997,02
481,2020-10-23,2.0869215,02
482,2020-10-24,5.698846,02
483,2020-10-25,5.0500216,02
484,2020-10-26,3.6590514,02
485,2020-10-27,4.9018893,02
486,2020-10-28,4.217857,02
487,2020-10-29,3.0369935,02
488,2020-10-30,3.2063284,02
489,2020-10-31,3.7071562,02
490,2020-03-01,3.3569202,03
491,2020-03-02,0.38451758,03
492,2020-03-03,0.34219694,03
493,2020-03-04,1.7763064,03
494,2020-03-05,3.167927,03
495,2020-03-06,-0.50901157,03
496,2020-03-07,-0.78274244,03
497,2020-03-08,2.1357274,03
498,2020-03-09,-0.2707495,03
499,2020-03-10,1.7007996,03
500,2020-03-11,1.5651407,03
501,2020-03-12,0.8164663,03
502,2020-03-13,-0.9498142,03
503,2020-03-14,0.6559431,03
504,2020-03-15,2.3366256,03
505,2020-03-16,0.8231673,03
506,2020-03-17,-0.01889437,03
507,2020-03-18,0.5137623,03
508,2020-03-19,0.96747947,03
509,2020-03-20,0.35980582,03
510,2020-03-21,-0.7608676,03
511,2020-03-22,-0.82890105,03
512,2020-03-23,-0.4735978,03
513,2020-03-24,-0.87271875,03
514,2020-03-25,-1.2691758,03
515,2020-03-26,-1.3250812,03
516,2020-03-27,-1.4696387,03
517,2020-03-28,-1.2062349,03
518,2020-03-29,-3.3530946,03
519,2020-03-30,-3.1770113,03
520,2020-03-31,-1.6754087,03
521,2020-04-01,-0.68984914,03
522,2020-04-02,-0.8969744,03
523,2020-04-03,-0.7418523,03
524,2020-04-04,0.5030022,03
525,2020-04-05,2.5990505,03
526,2020-04-06,0.9936058,03
527,2020-04-07,1.0690358,03
528,2020-04-08,0.91982734,03
529,2020-04-09,0.38547432,03
530,2020-04-10,0.27577075,03
531,2020-04-11,-0.03098973,03
532,2020-04-12,1.6937,03
533,2020-04-13,-0.45339543,03
534,2020-04-14,-2.5469139,03
535,2020-04-15,1.0036246,03
536,2020-04-16,0.852218,03
537,2020-04-17,0.90109235,03
538,2020-04-18,-0.24164832,03
539,2020-04-19,-0.6078841,03
540,2020-04-20,-0.5237045,03
541,2020-04-21,-0.7179521,03
542,2020-04-22,-0.28584662,03
543,2020-04-23,-0.44878805,03
544,2020-04-24,-0.2820372,03
545,2020-04-25,-0.79580784,03
546,2020-04-26,-0.9685894,03
547,2020-04-27,1.424664,03
548,2020-04-28,1.2368449,03
549,2020-04-29,1.9081962,03
550,2020-04-30,2.676361,03
551,2020-05-01,1.6465615,03
552,2020-05-02,0.3537425,03
553,2020-05-03,-0.020211987,03
554,2020-05-04,0.57628393,03
555,2020-05-05,-0.20936723,03
556,2020-05-06,-1.5845579,03
557,2020-05-07,-0.16978933,03
558,2020-05-08,0.6686206,03
559,2020-05-09,1.1166551,03
560,2020-05-10,1.2544857,03
561,2020-05-11,-2.005372,03
562,2020-05-12,-1.1767946,03
563,2020-05-13,-1.3739889,03
564,2020-05-14,-2.1298172,03
565,2020-05-15,-2.406782,03
566,2020-05-16,-2.226382,03
567,2020-05-17,-2.3601344,03
568,2020-05-18,-2.0372105,03
569,2020-05-19,-2.7517705,03
570,2020-05-20,-2.2726731,03
571,2020-05-21,-0.71203214,03
572,2020-05-22,0.61627346,03
573,2020-05-23,-0.53488034,03
574,2020-05-24,-1.5705334,03
575,2020-05-25,-2.108335,03
576,2020-05-26,-2.572549,03
577,2020-05-27,-1.8437816,03
578,2020-05-28,-1.8600061,03
579,2020-05-29,-2.0156596,03
580,2020-05-30,-1.4520804,03
581,2020-05-31,-1.0563575,03
582,2020-06-01,-0.01904556,03
583,2020-06-02,-0.29607967,03
584,2020-06-03,0.92104334,03
585,2020-06-04,-0.40303427,03
586,2020-06-05,1.1264008,03
587,2020-06-06,1.248601,03
588,2020-06-07,-0.78605187,03
589,2020-06-08,-1.6276907,03
590,2020-06-09,-2.6666481,03
591,2020-06-10,-1.6737895,03
592,2020-06-11,0.8360474,03
593,2020-06-12,1.2833158,03
594,2020-06-13,1.5545928,03
595,2020-06-14,0.42364815,03
596,2020-06-15,0.30773616,03
597,2020-06-16,0.44235954,03
598,2020-06-17,0.9925143,03
599,2020-06-18,1.0050242,03
600,2020-06-19,-0.022581602,03
601,2020-06-20,-0.43380278,03
602,2020-06-21,-0.45707187,03
603,2020-06-22,-1.7692244,03
604,2020-06-23,-1.0485698,03
605,2020-06-24,0.3873988,03
606,2020-06-25,0.89907837,03
607,2020-06-26,0.8579315,03
608,2020-06-27,0.88249475,03
609,2020-06-28,0.36140147,03
610,2020-06-29,-0.0994123,03
611,2020-06-30,0.11822263,03
612,2020-07-01,0.53382874,03
613,2020-07-02,-0.5449448,03
614,2020-07-03,-1.2639875,03
615,2020-07-04,0.13545394,03
616,2020-07-05,0.16091467,03
