,time,t2m,dep
661,2020-08-19,295.7367,03
662,2020-08-20,300.37582,03
663,2020-08-21,296.8035,03
664,2020-08-22,293.65872,03
665,2020-08-23,292.0634,03
666,2020-08-24,292.66302,03
667,2020-08-25,295.19498,03
668,2020-08-26,293.42358,03
669,2020-08-27,294.53705,03
670,2020-08-28,292.08423,03
671,2020-08-29,289.48026,03
672,2020-08-30,287.4798,03
673,2020-08-31,288.55658,03
674,2020-09-01,288.14456,03
675,2020-09-02,288.71237,03
676,2020-09-03,291.07742,03
677,2020-09-04,294.98337,03
678,2020-09-05,293.01074,03
679,2020-09-06,289.9857,03
680,2020-09-07,289.71494,03
681,2020-09-08,291.3186,03
682,2020-09-09,293.92365,03
683,2020-09-10,294.09503,03
684,2020-09-11,294.7747,03
685,2020-09-12,294.44946,03
686,2020-09-13,295.52884,03
687,2020-09-14,298.6772,03
688,2020-09-15,298.2763,03
689,2020-09-16,297.05954,03
690,2020-09-17,296.5569,03
691,2020-09-18,297.8534,03
692,2020-09-19,294.97192,03
693,2020-09-20,292.32333,03
694,2020-09-21,291.83698,03
695,2020-09-22,290.70895,03
696,2020-09-23,291.5316,03
697,2020-09-24,288.98907,03
698,2020-09-25,284.11942,03
699,2020-09-26,282.8219,03
700,2020-09-27,281.34723,03
701,2020-09-28,283.64697,03
702,2020-09-29,285.77808,03
703,2020-09-30,286.9848,03
704,2020-10-01,286.77908,03
705,2020-10-02,285.00122,03
706,2020-10-03,282.99973,03
707,2020-10-04,283.74097,03
708,2020-10-05,284.0465,03
709,2020-10-06,286.0974,03
710,2020-10-07,285.48578,03
711,2020-10-08,287.45566,03
712,2020-10-09,287.23306,03
713,2020-10-10,284.07608,03
714,2020-10-11,281.21768,03
715,2020-10-12,280.82678,03
716,2020-10-13,280.4485,03
717,2020-10-14,281.06033,03
718,2020-10-15,280.2339,03
719,2020-10-16,281.4126,03
720,2020-10-17,282.56467,03
721,2020-10-18,281.88812,03
722,2020-10-19,282.81305,03
723,2020-10-20,287.7487,03
724,2020-10-21,290.41992,03
725,2020-10-22,289.6356,03
726,2020-10-23,286.72653,03
727,2020-10-24,285.90494,03
728,2020-10-25,285.53336,03
729,2020-10-26,282.72476,03
730,2020-10-27,282.94418,03
731,2020-10-28,285.19507,03
732,2020-10-29,284.8448,03
733,2020-10-30,285.10052,03
734,2020-10-31,285.62372,03
735,2020-03-01,276.6054,04
736,2020-03-02,274.98648,04
737,2020-03-03,273.44073,04
738,2020-03-04,273.88043,04
739,2020-03-05,275.40646,04
740,2020-03-06,274.1371,04
741,2020-03-07,274.09305,04
742,2020-03-08,275.27838,04
743,2020-03-09,275.0434,04
744,2020-03-10,276.51834,04
745,2020-03-11,281.3876,04
746,2020-03-12,281.4304,04
747,2020-03-13,281.0644,04
748,2020-03-14,278.40826,04
749,2020-03-15,278.00998,04
750,2020-03-16,278.31207,04
751,2020-03-17,279.2295,04
752,2020-03-18,280.27133,04
753,2020-03-19,280.3544,04
754,2020-03-20,279.03333,04
755,2020-03-21,279.42828,04
756,2020-03-22,278.46616,04
757,2020-03-23,277.1658,04
758,2020-03-24,273.54654,04
759,2020-03-25,271.93158,04
760,2020-03-26,273.02582,04
761,2020-03-27,276.63962,04
762,2020-03-28,278.90955,04
763,2020-03-29,277.91617,04
764,2020-03-30,277.8934,04
765,2020-03-31,276.55594,04
766,2020-04-01,277.05316,04
767,2020-04-02,277.31482,04
768,2020-04-03,277.97617,04
769,2020-04-04,278.92975,04
770,2020-04-05,279.4256,04
771,2020-04-06,279.70517,04
772,2020-04-07,280.90674,04
773,2020-04-08,281.15088,04
774,2020-04-09,281.73264,04
775,2020-04-10,282.29193,04
776,2020-04-11,282.14386,04
777,2020-04-12,281.4772,04
778,2020-04-13,280.82452,04
779,2020-04-14,282.91263,04
780,2020-04-15,282.8169,04
781,2020-04-16,282.3748,04
782,2020-04-17,283.59863,04
783,2020-04-18,284.37213,04
784,2020-04-19,282.15814,04
785,2020-04-20,282.73465,04
786,2020-04-21,282.3739,04
787,2020-04-22,281.83356,04
788,2020-04-23,283.2499,04
789,2020-04-24,283.67133,04
790,2020-04-25,283.60202,04
791,2020-04-26,283.08615,04
792,2020-04-27,283.6879,04
793,2020-04-28,281.61032,04
794,2020-04-29,281.62808,04
795,2020-04-30,281.2322,04
796,2020-05-01,280.97675,04
797,2020-05-02,283.46976,04
798,2020-05-03,285.32892,04
799,2020-05-04,285.52948,04
800,2020-05-05,286.90686,04
801,2020-05-06,285.8923,04
802,2020-05-07,286.67075,04
803,2020-05-08,286.81708,04
804,2020-05-09,285.69122,04
805,2020-05-10,284.69843,04
806,2020-05-11,281.92978,04
807,2020-05-12,284.14618,04
808,2020-05-13,285.02484,04
809,2020-05-14,285.28516,04
810,2020-05-15,284.69125,04
811,2020-05-16,285.4306,04
812,2020-05-17,284.73105,04
813,2020-05-18,286.38348,04
814,2020-05-19,286.5557,04
815,2020-05-20,287.72916,04
816,2020-05-21,287.83698,04
817,2020-05-22,288.9697,04
818,2020-05-23,288.6108,04
819,2020-05-24,286.96295,04
820,2020-05-25,288.04877,04
821,2020-05-26,288.069,04
822,2020-05-27,286.23663,04
823,2020-05-28,286.90598,04
824,2020-05-29,284.77112,04
825,2020-05-30,285.17252,04
826,2020-05-31,285.47858,04
827,2020-06-01,286.24564,04
828,2020-06-02,287.48184,04
829,2020-06-03,286.50064,04
830,2020-06-04,284.3574,04
831,2020-06-05,284.38293,04
832,2020-06-06,286.65332,04
