,time,u10,dep
248,2020-03-04,1.3558234,02
249,2020-03-05,0.3418684,02
250,2020-03-06,4.465871,02
251,2020-03-07,2.1801274,02
252,2020-03-08,2.934311,02
253,2020-03-09,4.107534,02
254,2020-03-10,5.087418,02
255,2020-03-11,4.865758,02
256,2020-03-12,5.851563,02
257,2020-03-13,4.024424,02
258,2020-03-14,0.26036346,02
259,2020-03-15,0.43637368,02
260,2020-03-16,0.46049488,02
261,2020-03-17,1.1227703,02
262,2020-03-18,0.7194537,02
263,2020-03-19,-1.834271,02
264,2020-03-20,-2.5472262,02
265,2020-03-21,-5.0435247,02
266,2020-03-22,-5.8480387,02
267,2020-03-23,-4.9402337,02
268,2020-03-24,-3.7968748,02
269,2020-03-25,-3.2615638,02
270,2020-03-26,-3.3183007,02
271,2020-03-27,-1.5102457,02
272,2020-03-28,-1.6432618,02
273,2020-03-29,-2.8838556,02
274,2020-03-30,-2.8828735,02
275,2020-03-31,-2.790385,02
276,2020-04-01,-1.1545593,02
277,2020-04-02,1.4543264,02
278,2020-04-03,1.5224133,02
279,2020-04-04,-2.1865716,02
280,2020-04-05,-2.6946177,02
281,2020-04-06,1.1004206,02
282,2020-04-07,-2.225762,02
283,2020-04-08,-1.415673,02
284,2020-04-09,-1.7945478,02
285,2020-04-10,-2.0698729,02
286,2020-04-11,-0.7469278,02
287,2020-04-12,-0.647148,02
288,2020-04-13,-2.9455984,02
289,2020-04-14,-2.7633882,02
290,2020-04-15,-3.1663775,02
291,2020-04-16,0.0056306217,02
292,2020-04-17,-1.4016397,02
293,2020-04-18,1.2072917,02
294,2020-04-19,-1.8696054,02
295,2020-04-20,-4.9626484,02
296,2020-04-21,-4.7301383,02
297,2020-04-22,-3.6842294,02
298,2020-04-23,-1.3484874,02
299,2020-04-24,0.16427137,02
300,2020-04-25,-1.4065158,02
301,2020-04-26,-0.39610326,02
302,2020-04-27,0.04640391,02
303,2020-04-28,3.1672757,02
304,2020-04-29,3.5155828,02
305,2020-04-30,3.6211917,02
306,2020-05-01,4.4162846,02
307,2020-05-02,3.3187687,02
308,2020-05-03,-0.26701376,02
309,2020-05-04,0.14190952,02
310,2020-05-05,-3.8080907,02
311,2020-05-06,-2.6119514,02
312,2020-05-07,-1.4261959,02
313,2020-05-08,-2.0263789,02
314,2020-05-09,-1.4350822,02
315,2020-05-10,-0.5412253,02
316,2020-05-11,-3.1335363,02
317,2020-05-12,-1.6574432,02
318,2020-05-13,-1.8844111,02
319,2020-05-14,-3.1952085,02
320,2020-05-15,-1.5958438,02
321,2020-05-16,-0.26649922,02
322,2020-05-17,0.6410011,02
323,2020-05-18,1.9653867,02
324,2020-05-19,0.78507036,02
325,2020-05-20,-1.6379402,02
326,2020-05-21,-0.32297868,02
327,2020-05-22,2.421335,02
328,2020-05-23,4.193095,02
329,2020-05-24,3.2759745,02
330,2020-05-25,-0.9442075,02
331,2020-05-26,-1.6616675,02
332,2020-05-27,-0.92419493,02
333,2020-05-28,-2.8134944,02
334,2020-05-29,-3.0346909,02
335,2020-05-30,-3.1620433,02
336,2020-05-31,-3.284514,02
337,2020-06-01,-2.9976957,02
338,2020-06-02,-1.0492488,02
339,2020-06-03,-0.286699,02
340,2020-06-04,1.2366925,02
341,2020-06-05,4.59806,02
342,2020-06-06,4.8670964,02
343,2020-06-07,2.397418,02
344,2020-06-08,0.57447976,02
345,2020-06-09,0.07232846,02
346,2020-06-10,0.1893865,02
347,2020-06-11,-2.4403324,02
348,2020-06-12,-3.335895,02
349,2020-06-13,-0.4049686,02
350,2020-06-14,1.8636928,02
