,time,u10,v10,t2m,dep,tp
5857,2020-10-09,1.4130306,1.2201151,286.10318,25,0.0022896293
5858,2020-10-10,1.4599304,-0.5425329,282.7891,25,0.20104085
5859,2020-10-11,0.5467918,-1.0316262,279.3856,25,0.045374785
5860,2020-10-12,0.007922527,-0.88975066,278.7961,25,0.01764119
5861,2020-10-13,-0.4390329,0.25146845,279.58426,25,0.0046239644
5862,2020-10-14,-2.154357,-1.3570309,279.99954,25,0.013540038
5863,2020-10-15,-1.457447,-2.701207,279.14462,25,0.02554156
5864,2020-10-16,-1.2191837,-2.3492959,280.7018,25,0.026386505
5865,2020-10-17,-0.89827853,-1.2905606,280.6276,25,0.003653735
5866,2020-10-18,-0.84503084,-0.76834875,279.65475,25,0.00036479012
5867,2020-10-19,-0.72311264,1.0689133,280.56088,25,1.4403101e-05
5868,2020-10-20,0.080397226,2.2035992,284.8258,25,1.4746724e-05
5869,2020-10-21,0.595001,2.6744683,287.16287,25,0.0012665361
5870,2020-10-22,-0.2075749,1.7676626,286.36398,25,0.018292846
5871,2020-10-23,0.6362062,1.7081313,284.97665,25,0.33816278
5872,2020-10-24,1.3713244,1.5913072,284.13956,25,0.03505318
5873,2020-10-25,1.0508677,2.3986466,284.9639,25,0.011128935
5874,2020-10-26,1.5405926,1.6580969,280.42532,25,0.33452928
5875,2020-10-27,1.6389292,2.5635946,280.70734,25,0.031332683
5876,2020-10-28,2.776871,3.01523,283.33987,25,0.0837094
5877,2020-10-29,2.884413,2.3318355,282.65848,25,0.095425725
5878,2020-10-30,0.9080313,1.1231245,283.62897,25,0.0058866404
5879,2020-10-31,0.038108017,1.3713961,283.33398,25,4.360104e-05
5880,2020-03-01,0.12591709,1.328988,278.95667,26,0.060001392
5881,2020-03-02,-0.00980308,-0.012918421,277.49826,26,0.3317391
5882,2020-03-03,0.830928,-2.3346293,275.6367,26,0.03875489
5883,2020-03-04,0.1837716,-1.4529577,276.1335,26,0.0013082173
5884,2020-03-05,-0.5195191,1.188874,278.0485,26,0.18385033
5885,2020-03-06,0.8903474,-1.4371408,276.27066,26,0.039022233
5886,2020-03-07,0.2606717,-4.404376,276.38,26,0.0034660252
5887,2020-03-08,-0.07507654,-0.29217872,278.48227,26,0.00086841587
5888,2020-03-09,0.6611721,-2.6945965,276.88644,26,0.054195624
5889,2020-03-10,0.15857898,-1.89506,278.2383,26,0.0072356607
5890,2020-03-11,0.053705078,-2.0262885,282.8549,26,0.00026205168
5891,2020-03-12,0.08687239,0.17795222,283.7499,26,0.0062489524
5892,2020-03-13,0.17011368,-3.112203,280.7639,26,0.0672154
5893,2020-03-14,0.15338328,-2.74131,278.54025,26,0.0029849138
5894,2020-03-15,-0.23508745,1.7350227,279.76135,26,0.00076913735
5895,2020-03-16,-0.120919384,1.0638126,280.87057,26,0.0003468234
5896,2020-03-17,0.11597294,-0.4782436,282.55972,26,0.0016840161
5897,2020-03-18,0.002946034,-0.1981622,283.36514,26,0.00019578385
5898,2020-03-19,-0.101787895,0.6548601,283.2112,26,0.0004584333
5899,2020-03-20,0.12673825,0.5991152,282.72702,26,0.0025335688
5900,2020-03-21,0.15917397,0.07617698,282.82614,26,0.0019748248
5901,2020-03-22,-0.3282085,-0.19894214,281.90414,26,0.04461291
5902,2020-03-23,0.36902222,0.00032530227,280.6917,26,0.05120757
5903,2020-03-24,0.56087554,1.218982,277.36658,26,0.074070625
5904,2020-03-25,0.049708474,-0.47321463,275.75418,26,0.031335577
5905,2020-03-26,-0.012944479,-1.3938347,276.2761,26,0.041047525
5906,2020-03-27,-0.11845564,-1.4914917,279.29153,26,0.0033513766
5907,2020-03-28,-0.08938477,-1.8836107,281.22543,26,0.0012986461
5908,2020-03-29,-0.020760506,-3.2389896,279.3627,26,0.0031569067
5909,2020-03-30,0.017336704,-2.5378766,278.17316,26,0.006525886
5910,2020-03-31,-0.115124464,-1.4884671,278.33994,26,0.0108186975
5911,2020-04-01,0.5443184,0.6368197,279.6307,26,0.0041375873
5912,2020-04-02,0.55600834,-0.43936265,279.81235,26,0.0037945302
5913,2020-04-03,0.15798411,-2.6864045,278.97885,26,0.00027922206
5914,2020-04-04,-0.15297921,0.33636975,281.3801,26,2.0165617e-05
5915,2020-04-05,-0.05159091,1.6694804,282.44534,26,3.0323863e-06
5916,2020-04-06,-0.07710001,1.2797674,282.9784,26,0.0
5917,2020-04-07,-0.15107083,0.663281,284.08884,26,0.0
5918,2020-04-08,-0.029057031,0.561583,284.5074,26,5.7178027e-06
5919,2020-04-09,0.015458648,-0.08355554,285.55246,26,0.0008299491
5920,2020-04-10,0.13766828,0.7025094,285.98303,26,0.0005602348
5921,2020-04-11,0.15705822,0.757,285.46103,26,0.0013384508
5922,2020-04-12,0.13050853,1.7097721,284.38782,26,0.0001987701
5923,2020-04-13,0.10782272,0.45927358,283.94437,26,0.00043570783
5924,2020-04-14,-0.1338676,-2.5434458,284.29083,26,0.00029243398
5925,2020-04-15,0.27800867,1.3424097,285.22852,26,0.0008242121
5926,2020-04-16,0.273117,1.6145219,285.56186,26,0.0025403274
5927,2020-04-17,0.14857392,1.9282745,286.13275,26,0.00019976842
5928,2020-04-18,0.18178652,1.0947341,287.02234,26,0.0058437157
5929,2020-04-19,-0.1341631,0.088042535,285.02475,26,0.08151669
5930,2020-04-20,-0.044784367,-0.1852666,286.0234,26,0.04543489
5931,2020-04-21,-0.31380087,-0.28791523,286.60507,26,0.042883176
5932,2020-04-22,0.28668925,0.5032528,285.49548,26,0.03646018
5933,2020-04-23,0.22084385,0.3376529,286.57758,26,0.007751536
5934,2020-04-24,0.26308143,0.26505515,286.93768,26,0.014733887
5935,2020-04-25,0.4558052,0.41302645,286.43564,26,0.023261266
5936,2020-04-26,0.36828625,0.16595453,285.924,26,0.04726511
5937,2020-04-27,0.21089716,1.8098894,286.14978,26,0.04364854
5938,2020-04-28,0.12303076,-0.42720687,284.43246,26,0.14649157
5939,2020-04-29,0.5598063,-0.59208196,283.91345,26,0.01637376
5940,2020-04-30,-0.19596714,0.50583094,283.17203,26,0.064929105
5941,2020-05-01,-0.07280458,1.0877976,282.97424,26,0.2122382
5942,2020-05-02,0.57051015,-0.57977575,284.91635,26,0.10014835
5943,2020-05-03,0.29393932,-2.1042883,286.6413,26,0.010857667
5944,2020-05-04,0.13559745,0.6920376,288.2416,26,0.00015384874
5945,2020-05-05,0.15058038,-0.082505055,288.96835,26,0.017214658
5946,2020-05-06,0.22172962,-3.5076926,287.2719,26,0.0013997359
5947,2020-05-07,0.30697727,0.3624905,288.3799,26,0.0003481987
5948,2020-05-08,0.14179558,1.9044558,289.16913,26,5.9005e-05
5949,2020-05-09,0.066468336,1.820416,288.17752,26,0.011194222
5950,2020-05-10,-0.33170274,1.6777173,286.9821,26,0.12097216
5951,2020-05-11,-0.31147018,1.6384112,284.53592,26,0.2793381
5952,2020-05-12,0.091201596,-1.6379671,283.79727,26,0.016744085
5953,2020-05-13,-0.45372808,-0.47949457,285.53625,26,0.18667631
5954,2020-05-14,-0.04092488,-1.4405313,285.88126,26,0.082726225
5955,2020-05-15,0.20438021,-2.535763,284.647,26,0.028063936
5956,2020-05-16,-0.066775955,-2.023061,286.324,26,0.032032643
5957,2020-05-17,0.0567106,-3.162346,286.54892,26,0.027422482
5958,2020-05-18,-0.05351895,-3.0139534,287.86084,26,0.0030481655
5959,2020-05-19,0.10969625,-3.7803953,289.23492,26,0.0013183818
5960,2020-05-20,0.010113207,-2.823967,290.28476,26,0.00047934335
5961,2020-05-21,0.16060942,-1.3886143,290.9476,26,0.0034529155
5962,2020-05-22,0.28204268,0.6243426,291.9413,26,0.0003967466
5963,2020-05-23,0.18439393,-1.2279817,288.43872,26,0.073159605
5964,2020-05-24,0.11123288,-4.0269237,286.5088,26,0.0067752725
5965,2020-05-25,0.15763293,-2.5946026,288.35205,26,8.0689097e-07
5966,2020-05-26,0.095135905,-2.6886141,289.18185,26,0.00029022343
5967,2020-05-27,0.445724,-0.23120195,289.24112,26,0.0032806552
5968,2020-05-28,0.45919713,-1.9503969,289.92313,26,0.00029013865
5969,2020-05-29,0.14081955,-0.8792787,288.60123,26,0.019925013
5970,2020-05-30,0.77854085,0.20920284,288.1934,26,0.0039715166
5971,2020-05-31,0.48421827,0.41288006,288.9495,26,0.002994247
5972,2020-06-01,0.3314068,1.0615791,289.86096,26,0.011631894
5973,2020-06-02,0.5862924,-0.3473831,290.9943,26,0.008265613
5974,2020-06-03,0.15664738,1.5202618,289.5941,26,0.07271875
5975,2020-06-04,0.10642785,-0.12195466,287.01535,26,0.2572538
